80.191.164.173,3128,transparent,no
173.249.24.52,3128,anonymous,no
139.59.1.14,3128,anonymous,no
207.154.231.213,8080,anonymous,no
180.252.181.2,80,elite proxy,no
167.71.5.83,8080,anonymous,no
138.197.157.32,8080,anonymous,no
159.8.114.37,8123,elite proxy,no
88.99.10.255,1080,elite proxy,yes
200.255.122.170,8080,anonymous,yes
18.229.255.137,8888,anonymous,no
88.198.50.103,8080,anonymous,no
88.99.10.253,1080,elite proxy,yes
78.46.81.7,1080,elite proxy,yes
188.40.183.188,1080,elite proxy,yes
188.40.183.189,1080,elite proxy,yes
188.40.183.187,1080,elite proxy,yes
136.243.92.25,1080,elite proxy,yes
200.52.141.162,53281,elite proxy,yes
104.41.30.26,8888,anonymous,no
169.57.1.84,8123,elite proxy,no
60.251.33.225,80,anonymous,no
46.4.96.137,3128,anonymous,no
165.227.89.20,8080,anonymous,no
188.226.141.61,3128,anonymous,no
119.81.199.80,8123,elite proxy,no
88.99.10.249,1080,elite proxy,yes
106.104.12.236,80,anonymous,no
188.40.183.186,1080,elite proxy,yes
128.199.202.122,3128,anonymous,no
52.179.231.206,80,anonymous,no
119.81.199.81,8123,elite proxy,no
169.57.157.148,8123,elite proxy,no
165.227.43.101,3128,anonymous,no
40.124.49.167,80,anonymous,no
119.81.199.86,8123,elite proxy,no
80.48.119.28,8080,elite proxy,no
181.118.167.104,80,elite proxy,yes
183.88.196.150,8080,elite proxy,yes
162.243.108.129,3128,anonymous,no
176.9.119.170,8080,anonymous,no
47.90.54.45,8080,anonymous,no
125.16.18.182,80,anonymous,no
191.96.42.80,3128,anonymous,no
198.199.120.102,3128,anonymous,no
138.68.60.8,3128,anonymous,no
79.137.44.85,3129,elite proxy,yes
46.235.53.26,3128,anonymous,yes
47.52.255.67,80,anonymous,no
51.255.103.170,3129,elite proxy,yes
13.82.183.184,80,anonymous,no
92.222.180.156,8080,anonymous,no
201.123.140.70,8080,elite proxy,yes
188.40.183.190,1080,elite proxy,yes
95.179.196.104,80,anonymous,no
119.81.199.85,8123,elite proxy,no
161.202.226.195,8123,elite proxy,no
188.226.141.211,3128,anonymous,no
161.202.226.194,8123,elite proxy,no
154.16.202.22,8080,anonymous,no
190.103.178.14,8080,anonymous,no
118.69.50.154,443,anonymous,no
102.129.249.120,8080,anonymous,no
88.198.24.108,8080,anonymous,no
178.128.24.20,11,elite proxy,yes
94.249.236.165,8080,anonymous,no
64.225.47.176,8080,anonymous,no
5.252.179.8,3128,elite proxy,yes
167.172.226.80,80,anonymous,no
203.202.245.62,80,anonymous,no
58.176.150.177,80,anonymous,no
145.239.81.69,8080,anonymous,no
209.97.150.167,8080,anonymous,no
188.166.83.17,3128,anonymous,no
46.151.253.209,53281,elite proxy,yes
171.7.64.184,8080,elite proxy,no
195.60.174.123,59500,elite proxy,no
88.99.10.251,1080,elite proxy,no
95.139.148.255,53281,elite proxy,no
88.99.10.254,1080,elite proxy,no
85.10.219.96,1080,elite proxy,no
149.129.240.89,8080,anonymous,no
203.202.245.58,80,anonymous,no
178.215.190.240,38670,elite proxy,no
91.203.36.102,39084,elite proxy,no
12.139.101.100,80,anonymous,no
78.38.115.211,61461,elite proxy,no
167.86.126.167,3128,anonymous,no
180.183.27.14,3128,elite proxy,no
36.90.68.15,55443,elite proxy,no
82.135.148.201,8081,anonymous,yes
138.68.240.218,8080,anonymous,no
165.227.43.144,80,anonymous,no
192.41.71.221,3128,anonymous,yes
176.9.75.42,8080,anonymous,no
63.82.52.254,8080,anonymous,no
139.162.78.109,3128,anonymous,no
5.252.161.48,8080,anonymous,no
66.97.42.99,3128,anonymous,no
103.87.170.116,35216,elite proxy,yes
199.48.69.75,80,transparent,no
