,id,title,href,price_50_average
63,QCSGX,Federated MDT Small Cap Growth Fund Class C Shares,/quote/QCSGX?p=QCSGX,15.50
64,QLSGX,Federated MDT Small Cap Growth Fund Class R6,/quote/QLSGX?p=QLSGX,18.71
65,FMSTX,Federated MDT Large Cap Value Fund Institutional Shares,/quote/FMSTX?p=FMSTX,21.60
66,FSTKX,Federated MDT Large Cap Value Fund Service Shares,/quote/FSTKX?p=FSTKX,21.62
67,FTHSX,Fuller & Thaler Behavioral Small-Cap Equity Fund Institutional Shares,/quote/FTHSX?p=FTHSX,20.59
68,AASCX,Thrivent Mid Cap Stock Fund Class A,/quote/AASCX?p=AASCX,18.31
69,TMSIX,Thrivent Mid Cap Stock Fund Class S,/quote/TMSIX?p=TMSIX,21.00
70,FVDKX,Fidelity Value Discovery Fund Class K,/quote/FVDKX?p=FVDKX,23.10
71,VWNDX,Vanguard Windsor Fund Investor Share,/quote/VWNDX?p=VWNDX,15.94
72,WSCGX,Wells Fargo Small Company Growth Fund - Class Inst,/quote/WSCGX?p=WSCGX,41.39
73,HASCX,Harbor Small Cap Value Fund Institutional Class,/quote/HASCX?p=HASCX,25.20
74,HNVRX,Harbor Small Cap Value Fund Retirement Class,/quote/HNVRX?p=HNVRX,25.21
75,FSTRX,Federated MDT Large Cap Value Fund Class A,/quote/FSTRX?p=FSTRX,21.59
76,SVFDX,Smead Value Fund Class R1,/quote/SVFDX?p=SVFDX,36.31
77,FSTLX,Federated MDT Large Cap Value Fund Class R6,/quote/FSTLX?p=FSTLX,21.62
78,HISVX,Harbor Small Cap Value Fund Investor Class,/quote/HISVX?p=HISVX,24.52
79,NVSCX,Wells Fargo Small Company Growth Fund - Class Admin,/quote/NVSCX?p=NVSCX,40.10
80,MRIGX,Meridian Growth Fund Investor Class,/quote/MRIGX?p=MRIGX,28.07
81,SVFAX,Smead Value Fund Class A,/quote/SVFAX?p=SVFAX,36.63
82,HSVRX,Harbor Small Cap Value Fund Administrative Class,/quote/HSVRX?p=HSVRX,25.06
83,SMVLX,Smead Value Fund Investor Class,/quote/SMVLX?p=SMVLX,36.89
84,SVFYX,Smead Value Fund Class Y,/quote/SVFYX?p=SVFYX,36.93
85,PEXMX,T. Rowe Price Extended Equity Market Index Fund,/quote/PEXMX?p=PEXMX,22.02
86,SVFKX,Smead Value Fund Class R2,/quote/SVFKX?p=SVFKX,37.50
87,FZAMX,Fidelity Advisor Mid Cap II Fund Class Z,/quote/FZAMX?p=FZAMX,14.67
88,MRAGX,Meridian Growth Fund A Class,/quote/MRAGX?p=MRAGX,27.30
89,DODGX,Dodge & Cox Stock Fund,/quote/DODGX?p=DODGX,141.98
90,TRMCX,T. Rowe Price Mid-Cap Value Fund,/quote/TRMCX?p=TRMCX,20.99
91,TRMIX,T. Rowe Price Mid-Cap Value Fund I Class,/quote/TRMIX?p=TRMIX,20.98
92,TILCX,T. Rowe Price Institutional Large Cap Value Fund,/quote/TILCX?p=TILCX,17.53
93,WTMCX,Segall Bryant & Hamill Mid Cap Value Dividend Fund Retail Class,/quote/WTMCX?p=WTMCX,18.58
94,RRMVX,T. Rowe Price Mid-Cap Value Fund R Class,/quote/RRMVX?p=RRMVX,20.53
95,JDMNX,Janus Henderson Enterprise Fund Class N,/quote/JDMNX?p=JDMNX,112.94
96,JANEX,Janus Henderson Enterprise Fund Class D,/quote/JANEX?p=JANEX,111.90
97,JDMRX,Janus Henderson Enterprise Fund Class R,/quote/JDMRX?p=JDMRX,104.57
98,JGRTX,Janus Henderson Enterprise Fund Class S,/quote/JGRTX?p=JGRTX,108.03
99,JMGRX,Janus Henderson Enterprise Fund Class I,/quote/JMGRX?p=JMGRX,112.49
100,JAENX,Janus Henderson Enterprise Fund Class T,/quote/JAENX?p=JAENX,111.10
101,JDMAX,Janus Henderson Enterprise Fund Class A,/quote/JDMAX?p=JDMAX,108.66
